Dist_Name,State_Name,DFSI,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,fatality_rate,injury_rate,risk_score,risk_tier
Mangaluru_Coastal_19,KARNATAKA,28.63,283,111,59623,12.9,22.25,3.11,19.14,474.649045,186.169767,82.32,Very High
Jeppu_Lowlands_19,KARNATAKA,44.93,202,11,747116,21.1,36.36,4.24,32.12,27.037301,1.472328,100.0,Very High
Kadri_Hills_19,KARNATAKA,9.54,1,9,234692,0.6,7.04,0.45,6.59,0.42609,3.834813,12.64,Low
Bunder_Port_19,KARNATAKA,36.0,370,6,567007,12.9,38.07,3.34,34.73,65.254926,1.058188,91.87,Very High
Bejai_Urban_19,KARNATAKA,15.06,14,27,942061,4.7,8.36,2.01,6.35,1.486103,2.866056,19.64,Low
Ullal_Beach_19,KARNATAKA,40.07,358,113,168232,21.4,25.01,4.08,20.93,212.80137,67.169147,97.22,Very High
Kulshekar_Ridge_19,KARNATAKA,8.03,0,1,298722,0.6,2.63,0.11,2.52,0.0,0.334759,5.0,Low
Patna_Central_19,BIHAR,20.99,23,4,823390,9.8,7.33,1.28,6.05,2.79333,0.485797,27.38,Medium
Begusarai_East_19,BIHAR,18.8,13,22,2156671,4.5,17.31,2.04,15.27,0.602781,1.020091,26.98,Medium
Arwal_Basin_19,BIHAR,13.11,19,14,1097897,3.7,5.75,1.45,4.3,1.730581,1.275165,14.85,Low
Vaishali_Valley_19,BIHAR,21.75,13,7,4076511,8.8,10.8,1.85,8.95,0.3189,0.171715,24.65,Low
Samastipur_Plain_19,BIHAR,20.11,12,23,5538108,7.4,9.21,0.54,8.67,0.21668,0.415304,22.23,Low
Mangaluru_Coastal_20,KARNATAKA,50.04,113,145,477785,27.0,30.65,2.9,27.75,23.650805,30.348378,100.0,Very High
Jeppu_Lowlands_20,KARNATAKA,39.29,302,134,253030,15.4,40.3,3.82,36.48,119.353436,52.958147,100.0,Very High
Kadri_Hills_20,KARNATAKA,10.42,0,7,545518,1.5,5.41,0.36,5.05,0.0,1.283184,9.34,Low
Bunder_Port_20,KARNATAKA,41.95,276,135,335900,21.5,29.33,4.86,24.47,82.167312,40.190533,100.0,Very High
Bejai_Urban_20,KARNATAKA,24.7,36,25,5357088,9.7,14.42,1.14,13.28,0.672007,0.466671,32.07,Medium
Ullal_Beach_20,KARNATAKA,43.8,86,64,384855,18.5,41.34,3.42,37.92,22.346078,16.62964,100.0,Very High
Kulshekar_Ridge_20,KARNATAKA,12.66,1,3,417816,3.2,6.32,0.44,5.88,0.23934,0.718019,12.86,Low
Patna_Central_20,BIHAR,13.12,4,20,1718758,3.3,6.71,1.75,4.96,0.232726,1.163631,12.25,Low
Begusarai_East_20,BIHAR,14.71,45,20,5481262,4.1,6.53,1.46,5.07,0.820979,0.364879,14.0,Low
Arwal_Basin_20,BIHAR,15.29,23,2,3155971,4.4,7.93,1.62,6.31,0.728777,0.063372,15.53,Low
Vaishali_Valley_20,BIHAR,19.26,22,18,3438199,4.3,17.8,1.37,16.43,0.63987,0.52353,27.74,Medium
Samastipur_Plain_20,BIHAR,21.64,33,11,3803389,8.4,11.24,1.28,9.96,0.867647,0.289216,26.35,Medium
Mangaluru_Coastal_21,KARNATAKA,54.03,281,92,717164,26.3,43.72,4.39,39.33,39.182112,12.828307,100.0,Very High
Jeppu_Lowlands_21,KARNATAKA,31.16,324,90,476624,10.3,33.41,2.76,30.65,67.978113,18.882809,92.23,Very High
Kadri_Hills_21,KARNATAKA,9.03,3,0,660635,0.5,4.7,0.37,4.33,0.454109,0.0,6.76,Low
Bunder_Port_21,KARNATAKA,35.66,91,120,613441,11.5,41.83,3.84,37.99,14.834352,19.561783,99.54,Very High
Bejai_Urban_21,KARNATAKA,19.18,47,15,2129849,8.1,6.73,1.29,5.44,2.206729,0.704275,23.21,Low
Ullal_Beach_21,KARNATAKA,35.84,137,138,49078,12.2,43.69,4.18,39.51,279.14748,281.185052,100.0,Very High
Kulshekar_Ridge_21,KARNATAKA,9.27,1,7,255048,2.4,0.89,0.47,0.42,0.392083,2.744581,7.01,Low
Patna_Central_21,BIHAR,19.55,8,11,864359,6.1,15.42,1.93,13.49,0.925541,1.272619,28.02,Medium
Begusarai_East_21,BIHAR,23.76,4,14,1725811,10.1,12.77,1.61,11.16,0.231775,0.811213,29.61,Medium
Arwal_Basin_21,BIHAR,15.4,46,19,1432817,4.4,8.21,0.62,7.59,3.210459,1.326059,22.55,Low
Vaishali_Valley_21,BIHAR,26.05,33,18,5893974,10.8,14.68,1.44,13.24,0.559894,0.305397,33.34,Medium
Samastipur_Plain_21,BIHAR,19.84,4,28,2440369,7.9,9.32,1.81,7.51,0.16391,1.147367,22.07,Low
Mangaluru_Coastal_22,KARNATAKA,35.61,221,101,381705,17.5,23.96,3.51,20.45,57.898115,26.460225,90.79,Very High
Jeppu_Lowlands_22,KARNATAKA,49.45,38,41,556998,23.1,41.44,3.66,37.78,6.822287,7.360888,98.15,Very High
Kadri_Hills_22,KARNATAKA,11.03,0,3,666045,3.5,0.8,0.49,0.31,0.0,0.45042,5.98,Low
Bunder_Port_22,KARNATAKA,48.09,276,43,459065,25.7,31.14,4.31,26.83,60.122205,9.366865,100.0,Very High
Bejai_Urban_22,KARNATAKA,18.68,19,21,2877074,6.5,9.67,1.07,8.6,0.660393,0.729908,21.84,Low
Ullal_Beach_22,KARNATAKA,37.76,28,82,560985,13.2,42.54,4.29,38.25,4.991221,14.617147,84.68,Very High
Kulshekar_Ridge_22,KARNATAKA,12.11,3,7,744513,2.2,6.91,0.13,6.78,0.402948,0.940212,12.91,Low
Patna_Central_22,BIHAR,17.38,29,2,2698611,6.5,7.13,1.69,5.44,1.074627,0.074112,18.27,Low
Begusarai_East_22,BIHAR,22.41,37,23,2923970,10.0,9.23,1.81,7.42,1.265403,0.786602,26.81,Medium
Arwal_Basin_22,BIHAR,22.12,17,10,3354190,7.0,16.49,0.97,15.52,0.506829,0.298135,30.27,Medium
Vaishali_Valley_22,BIHAR,18.14,9,12,5077033,7.0,6.89,1.84,5.05,0.177269,0.236359,17.07,Low
Samastipur_Plain_22,BIHAR,13.95,38,37,2968152,3.3,7.18,0.83,6.35,1.280258,1.246567,15.87,Low
Mangaluru_Coastal_23,KARNATAKA,50.57,170,115,317707,24.5,40.79,3.69,37.1,53.508421,36.196873,100.0,Very High
Jeppu_Lowlands_23,KARNATAKA,30.75,348,134,500494,10.6,32.58,3.9,28.68,69.531303,26.773548,90.32,Very High
Kadri_Hills_23,KARNATAKA,10.3,2,5,742974,2.7,0.89,0.15,0.74,0.269188,0.672971,5.96,Low
Bunder_Port_23,KARNATAKA,38.03,220,16,378404,19.1,26.54,4.83,21.71,58.13892,4.228285,88.08,Very High
Bejai_Urban_23,KARNATAKA,17.27,35,25,4342323,3.0,17.55,2.47,15.08,0.80602,0.575729,24.51,Low
Ullal_Beach_23,KARNATAKA,39.94,308,88,186470,18.8,31.92,3.64,28.28,165.174023,47.192578,100.0,Very High
Kulshekar_Ridge_23,KARNATAKA,10.34,1,6,79062,3.0,2.81,0.06,2.75,1.26483,7.588981,16.15,Low
Patna_Central_23,BIHAR,19.6,33,38,1670439,9.1,6.22,2.44,3.78,1.975529,2.274851,23.56,Low
Begusarai_East_23,BIHAR,20.83,27,10,4600612,9.0,8.32,2.43,5.89,0.586878,0.217362,21.8,Low
Arwal_Basin_23,BIHAR,26.61,13,27,5142929,10.8,15.8,0.99,14.81,0.252774,0.524993,34.85,Medium
Vaishali_Valley_23,BIHAR,23.82,32,16,5916775,8.4,16.94,2.09,14.85,0.540835,0.270418,31.61,Medium
Samastipur_Plain_23,BIHAR,17.19,29,2,3364781,4.0,13.47,1.29,12.18,0.861869,0.059439,22.21,Low
Mangaluru_Coastal_24,KARNATAKA,46.46,103,17,667697,25.6,26.59,4.01,22.58,15.426159,2.546065,95.3,Very High
Jeppu_Lowlands_24,KARNATAKA,30.37,112,129,722568,12.0,25.79,2.73,23.06,15.500271,17.852991,83.57,Very High
Kadri_Hills_24,KARNATAKA,12.34,1,8,272549,3.3,5.51,0.2,5.31,0.366907,2.935252,14.33,Low
Bunder_Port_24,KARNATAKA,35.52,324,93,285014,12.2,40.08,3.59,36.49,113.678626,32.629976,100.0,Very High
Bejai_Urban_24,KARNATAKA,18.51,22,19,1600500,6.6,9.76,1.15,8.61,1.37457,1.187129,23.66,Low
Ullal_Beach_24,KARNATAKA,42.51,305,106,599931,19.8,34.11,3.87,30.24,50.83918,17.668699,100.0,Very High
Kulshekar_Ridge_24,KARNATAKA,12.03,0,2,674122,2.7,5.51,0.32,5.19,0.0,0.296682,10.52,Low
Patna_Central_24,BIHAR,25.63,30,26,725049,11.2,16.01,2.4,13.61,4.137651,3.585965,43.45,Medium
Begusarai_East_24,BIHAR,21.29,16,23,2880932,7.8,12.54,1.3,11.24,0.555376,0.798353,26.83,Medium
Arwal_Basin_24,BIHAR,21.55,22,23,2586213,7.7,14.3,1.99,12.31,0.850665,0.889331,28.56,Medium
Vaishali_Valley_24,BIHAR,26.24,26,36,5544842,11.1,13.42,0.52,12.9,0.468904,0.649252,33.49,Medium
Samastipur_Plain_24,BIHAR,19.07,20,34,5882858,7.3,7.56,1.26,6.3,0.339971,0.57795,19.58,Low
Mangaluru_Coastal_25,KARNATAKA,32.99,41,39,348557,15.1,24.93,3.71,21.22,11.762782,11.188988,78.24,Very High
Jeppu_Lowlands_25,KARNATAKA,46.58,91,136,561863,22.9,34.48,3.28,31.2,16.196119,24.205189,100.0,Very High
Kadri_Hills_25,KARNATAKA,10.95,4,6,297368,3.5,1.42,0.29,1.13,1.345135,2.017702,10.64,Low
Bunder_Port_25,KARNATAKA,36.32,50,88,522238,14.6,33.32,2.77,30.55,9.574179,16.850555,85.79,Very High
Bejai_Urban_25,KARNATAKA,21.4,46,13,5326563,6.4,15.6,0.67,14.93,0.863596,0.24406,29.27,Medium
Ullal_Beach_25,KARNATAKA,42.19,40,13,251830,20.7,31.91,4.09,27.82,15.883731,5.162213,97.15,Very High
Kulshekar_Ridge_25,KARNATAKA,12.0,0,9,561998,3.4,3.58,0.32,3.26,0.0,1.601429,10.29,Low
Patna_Central_25,BIHAR,25.99,40,10,5776964,10.7,14.52,1.1,13.42,0.692405,0.173101,33.54,Medium
Begusarai_East_25,BIHAR,21.15,6,35,4521080,7.1,13.11,0.69,12.42,0.132712,0.774151,26.41,Medium
Arwal_Basin_25,BIHAR,13.83,49,37,1011083,3.9,7.82,2.23,5.59,4.846289,3.659442,24.21,Low
Vaishali_Valley_25,BIHAR,18.11,26,2,5258982,6.5,8.02,1.59,6.43,0.494392,0.03803,18.39,Low
Samastipur_Plain_25,BIHAR,20.96,40,11,5236319,6.6,14.04,0.77,13.27,0.763895,0.210071,27.37,Medium
Mangaluru_Coastal_26,KARNATAKA,45.96,116,46,233510,20.9,40.11,3.35,36.76,49.676673,19.69937,100.0,Very High
Jeppu_Lowlands_26,KARNATAKA,26.17,367,135,71007,11.5,20.14,3.19,16.95,516.850451,190.122101,77.59,Very High
Kadri_Hills_26,KARNATAKA,9.18,3,0,318600,1.7,2.2,0.2,2.0,0.94162,0.0,6.64,Low
Bunder_Port_26,KARNATAKA,38.22,163,12,366459,14.2,39.61,2.67,36.94,44.479737,3.274582,98.25,Very High
Bejai_Urban_26,KARNATAKA,18.74,4,22,5537285,5.1,13.84,1.69,12.15,0.072238,0.397307,22.68,Low
Ullal_Beach_26,KARNATAKA,36.29,305,102,269189,16.5,28.22,2.63,25.59,113.303292,37.891593,95.46,Very High
Kulshekar_Ridge_26,KARNATAKA,9.6,3,4,311830,2.5,0.95,0.26,0.69,0.962063,1.28275,7.34,Low
Patna_Central_26,BIHAR,18.7,31,16,1335036,7.8,7.61,1.88,5.73,2.322035,1.19847,23.71,Low
Begusarai_East_26,BIHAR,25.0,17,30,5811499,10.2,13.64,1.2,12.44,0.292523,0.516218,31.17,Medium
Arwal_Basin_26,BIHAR,17.77,21,1,1647116,3.2,17.66,0.74,16.92,1.274956,0.060712,27.45,Medium
Vaishali_Valley_26,BIHAR,15.22,9,39,1515416,5.3,6.21,1.84,4.37,0.593896,2.573551,16.32,Low
Samastipur_Plain_26,BIHAR,16.8,15,36,3765696,4.4,11.59,1.72,9.87,0.398333,0.955999,19.93,Low
Mangaluru_Coastal_27,KARNATAKA,36.66,272,79,683552,16.9,27.23,3.07,24.16,39.792145,11.557277,93.59,Very High
Jeppu_Lowlands_27,KARNATAKA,42.08,325,10,429954,20.8,30.07,3.49,26.58,75.589482,2.32583,94.96,Very High
Kadri_Hills_27,KARNATAKA,13.96,1,0,654805,3.5,7.94,0.27,7.67,0.152717,0.0,14.73,Low
Bunder_Port_27,KARNATAKA,45.69,172,138,707689,22.1,34.95,3.85,31.1,24.304461,19.500091,100.0,Very High
Bejai_Urban_27,KARNATAKA,14.7,22,35,3304802,3.7,8.96,2.08,6.88,0.665698,1.059065,15.85,Low
Ullal_Beach_27,KARNATAKA,47.32,280,29,584897,20.3,43.85,3.06,40.79,47.871677,4.958138,100.0,Very High
Kulshekar_Ridge_27,KARNATAKA,11.99,4,3,496956,2.2,7.42,0.44,6.98,0.8049,0.603675,13.61,Low
Patna_Central_27,BIHAR,23.61,35,8,3132578,9.0,15.73,2.41,13.32,1.117291,0.255381,31.7,Medium
Begusarai_East_27,BIHAR,14.37,13,32,2309377,3.7,8.02,1.51,6.51,0.562922,1.385655,15.48,Low
Arwal_Basin_27,BIHAR,19.86,19,29,4542879,7.6,9.05,1.36,7.69,0.418237,0.638362,21.89,Low
Vaishali_Valley_27,BIHAR,12.01,3,23,1341531,3.2,5.0,2.2,2.8,0.223625,1.714459,9.93,Low
Samastipur_Plain_27,BIHAR,15.82,12,31,3947794,4.9,7.49,1.63,5.86,0.303967,0.785249,15.56,Low
Mangaluru_Coastal_28,KARNATAKA,27.27,170,119,196104,11.3,22.61,3.58,19.03,86.688696,60.682087,79.79,Very High
Jeppu_Lowlands_28,KARNATAKA,35.26,117,44,177478,19.2,19.68,4.23,15.45,65.923664,24.791805,87.34,Very High
Kadri_Hills_28,KARNATAKA,7.65,3,5,63312,1.1,2.16,0.15,2.01,4.738438,7.897397,18.91,Low
Bunder_Port_28,KARNATAKA,41.08,270,11,289062,17.3,39.39,4.31,35.08,93.405567,3.805412,100.0,Very High
Bejai_Urban_28,KARNATAKA,24.19,23,5,989626,9.6,15.76,1.33,14.43,2.32411,0.505241,36.3,Medium
Ullal_Beach_28,KARNATAKA,34.58,244,83,233021,17.5,21.61,3.12,18.49,104.711593,35.619107,88.44,Very High
Kulshekar_Ridge_28,KARNATAKA,9.94,0,4,542420,2.4,1.53,0.39,1.14,0.0,0.737436,5.56,Low
Patna_Central_28,BIHAR,26.14,46,32,1870073,10.2,17.69,0.98,16.71,2.459797,1.711163,41.15,Medium
Begusarai_East_28,BIHAR,20.3,27,4,1852144,7.1,12.12,0.72,11.4,1.45777,0.215966,27.13,Medium
Arwal_Basin_28,BIHAR,24.71,30,29,2463571,10.3,13.47,0.99,12.48,1.217744,1.177153,33.56,Medium
Vaishali_Valley_28,BIHAR,18.86,18,9,2485957,4.2,17.43,1.28,16.15,0.724067,0.362034,27.27,Medium
Samastipur_Plain_28,BIHAR,15.64,41,21,3226016,5.5,5.99,2.12,3.87,1.270917,0.650958,15.7,Low
Mangaluru_Coastal_29,KARNATAKA,47.49,93,149,429878,21.5,42.17,4.15,38.02,21.634045,34.660997,100.0,Very High
Jeppu_Lowlands_29,KARNATAKA,34.94,101,105,47099,11.9,41.83,3.63,38.2,214.44192,222.93467,100.0,Very High
Kadri_Hills_29,KARNATAKA,12.38,2,7,363064,3.3,5.44,0.39,5.05,0.550867,1.928035,13.54,Low
Bunder_Port_29,KARNATAKA,33.71,153,147,187603,15.3,27.54,4.34,23.2,81.555199,78.356956,90.79,Very High
Bejai_Urban_29,KARNATAKA,15.41,6,5,4404722,4.6,7.41,1.82,5.59,0.136217,0.113515,13.94,Low
Ullal_Beach_29,KARNATAKA,33.94,125,116,669085,17.6,19.86,4.58,15.28,18.68223,17.33711,84.74,Very High
Kulshekar_Ridge_29,KARNATAKA,10.39,0,1,411931,1.3,6.37,0.45,5.92,0.0,0.242759,9.25,Low
Patna_Central_29,BIHAR,16.96,42,25,3116241,5.3,8.32,0.52,7.8,1.347778,0.802249,20.38,Low
Begusarai_East_29,BIHAR,20.85,37,12,4817561,5.9,16.65,1.46,15.19,0.768023,0.249089,28.66,Medium
Arwal_Basin_29,BIHAR,23.51,33,32,3400737,9.7,12.57,1.7,10.87,0.970378,0.940973,30.09,Medium
Vaishali_Valley_29,BIHAR,13.81,19,9,1481883,4.0,5.57,0.81,4.76,1.282153,0.607335,14.51,Low
Samastipur_Plain_29,BIHAR,19.88,23,30,5109688,6.5,12.15,1.25,10.9,0.450125,0.58712,24.11,Low
Mangaluru_Coastal_30,KARNATAKA,45.92,390,126,447507,26.0,23.33,2.8,20.53,87.149475,28.155984,100.0,Very High
Jeppu_Lowlands_30,KARNATAKA,39.03,32,145,164447,14.7,41.74,3.29,38.45,19.459157,88.174305,100.0,Very High
Kadri_Hills_30,KARNATAKA,12.82,3,5,538685,3.0,6.81,0.26,6.55,0.556912,0.928186,14.1,Low
Bunder_Port_30,KARNATAKA,34.05,272,33,98005,10.8,43.31,4.96,38.35,277.53686,33.671751,100.0,Very High
Bejai_Urban_30,KARNATAKA,18.18,25,13,817875,7.6,7.78,2.14,5.64,3.056702,1.589485,24.94,Low
Ullal_Beach_30,KARNATAKA,41.54,205,122,410965,19.2,33.94,3.86,30.08,49.882593,29.686226,100.0,Very High
Kulshekar_Ridge_30,KARNATAKA,9.86,0,4,386130,2.5,1.2,0.12,1.08,0.0,1.035921,5.87,Low
Patna_Central_30,BIHAR,15.25,6,3,3471783,5.2,5.12,1.42,3.7,0.172822,0.086411,12.62,Low
Begusarai_East_30,BIHAR,23.49,44,25,2898083,10.2,10.22,0.7,9.52,1.518245,0.862639,30.15,Medium
Arwal_Basin_30,BIHAR,22.95,3,13,2207017,8.5,15.6,1.98,13.62,0.13593,0.58903,29.81,Medium
Vaishali_Valley_30,BIHAR,17.26,18,14,3599555,3.3,14.89,0.51,14.38,0.500062,0.388937,23.42,Low
Samastipur_Plain_30,BIHAR,24.19,32,6,4976321,9.8,13.82,2.02,11.8,0.643045,0.120571,30.11,Medium
Mangaluru_Coastal_31,KARNATAKA,37.42,34,142,456978,18.1,27.94,4.99,22.95,7.440183,31.073706,78.08,Very High
Jeppu_Lowlands_31,KARNATAKA,31.2,373,42,154914,10.0,35.9,2.84,33.06,240.778755,27.111817,94.67,Very High
Kadri_Hills_31,KARNATAKA,10.14,3,2,628717,0.8,6.46,0.21,6.25,0.477162,0.318108,9.81,Low
Bunder_Port_31,KARNATAKA,42.51,390,28,711447,22.7,24.09,2.76,21.33,54.817857,3.935641,92.79,Very High
Bejai_Urban_31,KARNATAKA,15.82,20,19,3449281,3.2,12.83,1.7,11.13,0.579831,0.550839,19.64,Low
Ullal_Beach_31,KARNATAKA,48.12,370,23,483031,22.7,39.19,3.34,35.85,76.599639,4.761599,100.0,Very High
Kulshekar_Ridge_31,KARNATAKA,9.95,0,1,97775,3.1,1.42,0.22,1.2,0.0,1.022756,6.91,Low
Patna_Central_31,BIHAR,23.49,12,33,1909854,9.6,12.78,0.94,11.84,0.62832,1.727881,31.12,Medium
Begusarai_East_31,BIHAR,17.91,7,14,4084197,4.1,15.21,1.77,13.44,0.171392,0.342785,22.86,Low
Arwal_Basin_31,BIHAR,22.17,11,3,5335451,8.3,12.43,1.27,11.16,0.206168,0.056228,26.26,Medium
Vaishali_Valley_31,BIHAR,21.84,7,17,3962092,8.3,12.62,1.9,10.72,0.176674,0.429066,25.98,Medium
Samastipur_Plain_31,BIHAR,19.98,6,29,5766164,5.0,16.09,0.61,15.48,0.104055,0.502934,26.67,Medium
Mangaluru_Coastal_32,KARNATAKA,42.84,275,104,310143,18.2,39.67,2.97,36.7,88.668775,33.532919,100.0,Very High
Jeppu_Lowlands_32,KARNATAKA,43.01,143,28,328345,18.9,37.65,2.7,34.95,43.551752,8.527616,100.0,Very High
Kadri_Hills_32,KARNATAKA,7.71,3,8,108920,1.3,0.93,0.05,0.88,2.754315,7.34484,13.84,Low
Bunder_Port_32,KARNATAKA,29.35,378,110,703070,10.2,30.75,4.81,25.94,53.764206,15.645668,86.43,Very High
Bejai_Urban_32,KARNATAKA,17.47,15,10,4524733,5.5,8.58,0.57,8.01,0.331511,0.221008,18.64,Low
Ullal_Beach_32,KARNATAKA,45.68,58,77,526799,24.0,30.14,4.4,25.74,11.009892,14.616581,96.71,Very High
Kulshekar_Ridge_32,KARNATAKA,9.32,2,8,136044,2.7,0.85,0.43,0.42,1.470113,5.88045,11.9,Low
Patna_Central_32,BIHAR,17.92,16,18,1433396,6.1,10.34,1.56,8.78,1.11623,1.255759,22.7,Low
Begusarai_East_32,BIHAR,22.54,8,21,615359,8.0,17.52,1.83,15.69,1.300054,3.412642,35.9,Medium
Arwal_Basin_32,BIHAR,21.02,22,18,4041483,7.5,13.12,2.08,11.04,0.544355,0.445381,25.83,Medium
Vaishali_Valley_32,BIHAR,19.37,20,25,2363236,8.1,7.58,1.81,5.77,0.846297,1.057871,21.44,Low
Samastipur_Plain_32,BIHAR,13.56,5,7,5247647,3.2,7.38,2.43,4.95,0.095281,0.133393,11.02,Low
Mangaluru_Coastal_33,KARNATAKA,32.56,368,32,728725,12.1,32.13,3.9,28.23,50.499159,4.391231,85.54,Very High
Jeppu_Lowlands_33,KARNATAKA,44.83,112,102,718841,19.9,39.38,3.86,35.52,15.580636,14.189508,100.0,Very High
Kadri_Hills_33,KARNATAKA,10.3,0,1,371328,2.8,1.56,0.24,1.32,0.0,0.269304,6.0,Low
Bunder_Port_33,KARNATAKA,42.94,100,80,685961,21.7,29.12,3.66,25.46,14.578088,11.662471,98.67,Very High
Bejai_Urban_33,KARNATAKA,25.31,33,7,3866823,11.8,9.63,0.72,8.91,0.853414,0.181027,30.07,Medium
Ullal_Beach_33,KARNATAKA,44.26,228,147,320852,23.6,26.92,2.91,24.01,71.060801,45.815516,100.0,Very High
Kulshekar_Ridge_33,KARNATAKA,9.66,2,8,243127,1.1,5.45,0.11,5.34,0.822615,3.290461,12.17,Low
Patna_Central_33,BIHAR,21.18,4,8,3139929,8.0,12.25,2.0,10.25,0.127391,0.254783,24.73,Low
Begusarai_East_33,BIHAR,16.4,24,25,5571915,3.9,11.47,1.58,9.89,0.430732,0.448679,18.85,Low
Arwal_Basin_33,BIHAR,27.21,13,10,4352666,11.7,15.08,1.26,13.82,0.298668,0.229744,34.86,Medium
Vaishali_Valley_33,BIHAR,22.72,22,8,1728807,8.2,15.31,1.07,14.24,1.272554,0.462747,32.05,Medium
Samastipur_Plain_33,BIHAR,23.33,19,20,4963158,11.1,7.55,1.79,5.76,0.382821,0.402969,24.57,Low
Mangaluru_Coastal_34,KARNATAKA,38.67,297,118,248139,16.5,34.56,2.92,31.64,119.69098,47.553992,100.0,Very High
Jeppu_Lowlands_34,KARNATAKA,29.78,22,105,697258,13.6,21.8,4.96,16.84,3.155217,15.058988,56.29,High
Kadri_Hills_34,KARNATAKA,11.05,2,8,319215,2.7,3.8,0.12,3.68,0.626537,2.506148,11.6,Low
Bunder_Port_34,KARNATAKA,48.95,123,123,627275,27.8,26.63,4.35,22.28,19.608625,19.608625,100.0,Very High
Bejai_Urban_34,KARNATAKA,22.69,32,27,2974653,10.9,7.16,1.77,5.39,1.075756,0.907669,25.48,Medium
Ullal_Beach_34,KARNATAKA,45.31,168,130,441220,22.9,32.24,3.9,28.34,38.076243,29.46376,100.0,Very High
Kulshekar_Ridge_34,KARNATAKA,11.43,3,5,559165,3.5,1.91,0.38,1.53,0.536514,0.89419,8.77,Low
Patna_Central_34,BIHAR,27.44,45,9,5904882,11.1,17.84,2.02,15.82,0.762081,0.152416,37.13,Medium
Begusarai_East_34,BIHAR,26.22,31,26,2116596,10.9,15.65,1.01,14.64,1.464616,1.228387,37.54,Medium
Arwal_Basin_34,BIHAR,17.27,22,35,1356047,3.9,15.74,1.92,13.82,1.622363,2.581031,27.42,Medium
Vaishali_Valley_34,BIHAR,23.22,24,22,5065537,9.7,10.85,1.2,9.65,0.47379,0.434307,27.33,Medium
Samastipur_Plain_34,BIHAR,13.86,17,34,3008426,3.3,8.3,2.19,6.11,0.56508,1.130159,14.2,Low
Mangaluru_Coastal_35,KARNATAKA,39.41,215,128,696449,22.3,18.1,3.29,14.81,30.870889,18.378948,91.22,Very High
Jeppu_Lowlands_35,KARNATAKA,40.46,18,51,226368,21.6,25.54,4.59,20.95,7.951654,22.529686,81.85,Very High
Kadri_Hills_35,KARNATAKA,10.83,4,3,619365,3.2,1.01,0.21,0.8,0.645823,0.484367,7.31,Low
Bunder_Port_35,KARNATAKA,43.59,266,81,350925,24.5,24.28,4.76,19.52,75.799672,23.081855,100.0,Very High
Bejai_Urban_35,KARNATAKA,24.42,24,27,2260462,9.0,16.79,1.02,15.77,1.06173,1.194446,35.29,Medium
Ullal_Beach_35,KARNATAKA,48.02,342,39,516513,25.6,30.43,3.62,26.81,66.213241,7.550633,100.0,Very High
Kulshekar_Ridge_35,KARNATAKA,9.49,0,7,742098,2.0,1.33,0.49,0.84,0.0,0.943272,5.0,Low
Patna_Central_35,BIHAR,19.86,47,3,963001,9.4,6.66,2.43,4.23,4.880576,0.311526,28.21,Medium
Begusarai_East_35,BIHAR,26.52,15,9,739017,11.8,15.91,1.9,14.01,2.029723,1.217834,39.14,Medium
Arwal_Basin_35,BIHAR,21.28,15,38,773146,8.7,11.92,1.76,10.16,1.940125,4.914984,32.67,Medium
Vaishali_Valley_35,BIHAR,15.85,34,25,5252820,5.2,6.25,1.58,4.67,0.647271,0.475935,14.95,Low
Samastipur_Plain_35,BIHAR,16.92,31,4,1857453,5.7,8.86,1.7,7.16,1.668952,0.215349,20.32,Low
Mangaluru_Coastal_36,KARNATAKA,47.01,124,90,203834,22.0,41.01,4.76,36.25,60.833816,44.153576,100.0,Very High
Jeppu_Lowlands_36,KARNATAKA,29.8,383,16,103095,14.3,20.13,2.96,17.17,371.502013,15.519666,82.05,Very High
Kadri_Hills_36,KARNATAKA,11.66,4,4,225378,2.5,6.42,0.17,6.25,1.774796,1.774796,15.86,Low
Bunder_Port_36,KARNATAKA,32.93,215,141,512367,12.1,34.17,4.58,29.59,41.962109,27.519337,93.66,Very High
Bejai_Urban_36,KARNATAKA,23.15,9,23,5789283,11.6,5.84,2.24,3.6,0.15546,0.397286,22.32,Low
Ullal_Beach_36,KARNATAKA,43.63,29,109,72174,18.4,42.59,2.71,39.88,40.180674,151.023914,100.0,Very High
Kulshekar_Ridge_36,KARNATAKA,11.18,3,8,167795,2.7,5.05,0.25,4.8,1.787896,4.767723,16.84,Low
Patna_Central_36,BIHAR,16.62,23,12,4510162,3.9,11.66,0.97,10.69,0.50996,0.266066,19.81,Low
Begusarai_East_36,BIHAR,23.08,42,1,770914,8.4,17.36,1.8,15.56,5.448079,0.129716,41.18,Medium
Arwal_Basin_36,BIHAR,18.18,13,6,3600581,6.3,8.31,0.64,7.67,0.361053,0.16664,19.44,Low
Vaishali_Valley_36,BIHAR,18.51,30,35,3621881,7.2,8.11,2.31,5.8,0.828299,0.966349,20.02,Low
Samastipur_Plain_36,BIHAR,20.1,14,38,3872455,7.3,10.82,1.44,9.38,0.361528,0.98129,23.64,Low
Mangaluru_Coastal_37,KARNATAKA,28.05,394,101,607344,10.7,23.91,2.52,21.39,64.872626,16.629785,81.72,Very High
Jeppu_Lowlands_37,KARNATAKA,35.15,324,130,449940,17.1,23.9,3.6,20.3,72.009601,28.892741,90.01,Very High
